id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35009250,"Brigida - Nuevo, comunicado, mucho encanto",262955445,Gunrob,Puente de Vallecas,Numancia,40.39506,-3.66068,Entire home/apt,47,1,42,2020-02-22,3.59,1,44
35009944,"Bien comunicado,buena zona,buen ambiente      .",262215460,Wilmer,Arganzuela,Acacias,40.40423,-3.7042,Private room,40,2,5,2020-03-02,0.65,1,23
35011833,Only 4 champions!!,47460057,Bea,San Blas - Canillejas,Salvador,40.43896,-3.63515,Entire home/apt,800,3,0,,,1,179
35015881,Apartamento en Malasaña. Al lado Edificio España.,108463249,Suso,Centro,Universidad,40.42395,-3.70994,Entire home/apt,225,2,0,,,1,0
35017941,XXVIII. Loft GRAN VÍA w/ TERRACE ideal 4 FAMILIES,107141654,Leeways,Centro,Universidad,40.42165,-3.707,Entire home/apt,200,1,69,2020-03-21,5.90,69,104
35019558,Final Champions League,111133011,Mariru,San Blas - Canillejas,Rosas,40.42441,-3.6042,Entire home/apt,1499,1,0,,,1,365
35019700,Habitación para final de champions.800m del Wanda,263744747,Jorge,San Blas - Canillejas,Hellín,40.4319,-3.61895,Private room,800,1,0,,,2,363
35019850,Room in Malasaña. Madrid city center,90678387,Juan José,Centro,Universidad,40.42477,-3.71064,Private room,200,1,0,,,2,90
35019872,FINAL CHAMPIONS IN MADRID,232512952,Javier,Salamanca,Fuente del Berro,40.42227,-3.66523,Private room,200,1,0,,,1,365
35019900,FINAL CHAMPIONS IN MADRID 2+1 HUESPEDES,62113307,Juanma,Retiro,Pacífico,40.40483,-3.67823,Entire home/apt,500,1,0,,,1,365
35020058,Casa final champions muy cerca del Wanda,263744747,Jorge,San Blas - Canillejas,Hellín,40.43163,-3.61713,Entire home/apt,1100,1,0,,,2,363
35020263,Room in Malasaña! Madrid city center,90678387,Juan José,Centro,Universidad,40.42489,-3.71125,Private room,25,6,2,2019-06-23,0.18,2,0
35020477,Habitación cercana al centro de Madrid.,100081686,Diego,Hortaleza,Valdefuentes,40.4881,-3.66811,Private room,125,1,0,,,1,0
35020562,Habitación con cama de matrimonio para pareja,231318781,Henry,San Blas - Canillejas,Canillejas,40.44958,-3.60892,Private room,25,2,8,2019-12-08,0.69,1,360
35021452,DOUBLE ROOM  STADIUM WANDA CHAMPIONS,263835150,Cristina,San Blas - Canillejas,Canillejas,40.44517,-3.61169,Private room,400,1,0,,,1,179
35022207,Wonderful Studio with A/C in Arguelles (RSP),206349691,Mike,Chamberí,Gaztambide,40.43262,-3.7169,Entire home/apt,1136,1,4,2019-09-29,0.38,151,251
35022371,2 KM WANDA METROPOLITANO HOUSE FOR RENT,11821101,Nuria,Barajas,Alameda de Osuna,40.45527,-3.58881,Entire home/apt,1200,1,0,,,1,365
35022582,CUTE ONE BEDROOM FLAT IN QUIET AREA IN MADRID,263840348,Lara,Chamartín,El Viso,40.4432,-3.67922,Entire home/apt,500,1,0,,,1,364
35022928,Luxury Penthouse Madrid Center. Castellana. Azca,20409534,Chema,Tetuán,Castillejos,40.4595,-3.69496,Entire home/apt,150,3,2,2019-08-10,0.18,1,47
35023395,Champions League Final Madrid 2019,81582599,Alberto,Retiro,Niño Jesús,40.408,-3.67531,Entire home/apt,500,1,0,,,1,365
35024055,Madrid Av de America,241652103,Liliana,Salamanca,Lista,40.43629,-3.67698,Entire home/apt,65,10,9,2019-12-18,0.77,20,364
35024223,Habitacion doble en Madrid centro,28007126,Enrique,Centro,Embajadores,40.40985,-3.70445,Private room,60,1,9,2020-03-01,0.79,1,286
35024238,M (ECM3º) Apartamento La Latina/Plaza Cascorro,100336740,Victoria&Fer,Centro,Embajadores,40.41095,-3.70659,Entire home/apt,149,1,1,2020-03-01,0.39,50,138
35024270,City inmersion,263849147,Pablo,Centro,Universidad,40.42538,-3.70583,Entire home/apt,400,2,0,,,1,364
35024349,Charming apartament in Madrid-4PAX-,263016830,Daniel,Retiro,Adelfas,40.4024,-3.67287,Entire home/apt,60,1,23,2020-03-05,2.02,2,11
35025485,Habitación disponible 1 y 2 de junio 2019,59855841,Elsa,Carabanchel,San Isidro,40.39062,-3.73615,Private room,400,1,0,,,1,90
35026995,Double room with the nicest rooftop of Madrid,73296831,Maxime,Centro,Palacio,40.41626,-3.70906,Private room,100,2,0,,,1,0
35027849,Loft apartment (6beds) perfect x Champions League,263868827,Raul,Arganzuela,Delicias,40.39479,-3.69149,Entire home/apt,550,1,0,,,1,0
