preco,dormitorios,area,vagas,bairro,tipo
255500,2,57.88,1,VilaNova, Apartamento
460000,3,140.96,0,BomFim, Apartamento
360000,3,73.26,1,Cavalhada, Apartamento
458000,3,73.85,2,CristoRedentor, Apartamento
424000,2,50.8,1,Humaitá, Apartamento
249000,2,55.52,1,Sarandi, Apartamento
870000,2,88.18,2,Petrópolis, Apartamento
430000,3,76.29,1,SãoSebastião, Apartamento
620000,3,128.0,2,Petrópolis, Apartamento
630000,3,117.0,2,JardimSabará, Casa
280000,2,51.0,1,Teresópolis, Apartamento
1450000,3,164.33,2,JardimdoSalso, Apartamento
490000,2,62.0,1,PassodaAreia, Apartamento
488000,3,83.55,1,VilaIpiranga, Apartamento
1750000,3,184.71,3,RioBranco, Apartamento
265000,2,53.0,1,JardimBotânico, Apartamento
1036629,3,196.94,2,AltoPetrópolis, Casa
650000,3,80.0,1,SãoJoão, Apartamento
